Pavarde                       Vardas                        Galutinis (Med.)
Pavarde9919                   Vardas9919                    7.00 
Pavarde992                    Vardas992                     5.00 
Pavarde9920                   Vardas9920                    6.00 
Pavarde9921                   Vardas9921                    6.00 
Pavarde9922                   Vardas9922                    7.00 
Pavarde9923                   Vardas9923                    4.00 
Pavarde9924                   Vardas9924                    5.00 
Pavarde9925                   Vardas9925                    5.00 
Pavarde9926                   Vardas9926                    6.00 
Pavarde9927                   Vardas9927                    7.00 
Pavarde9928                   Vardas9928                    7.00 
Pavarde9929                   Vardas9929                    6.00 
Pavarde993                    Vardas993                     7.00 
Pavarde9930                   Vardas9930                    4.00 
Pavarde9931                   Vardas9931                    5.00 
Pavarde9932                   Vardas9932                    6.00 
Pavarde9933                   Vardas9933                    7.00 
Pavarde9934                   Vardas9934                    7.00 
Pavarde9935                   Vardas9935                    5.00 
Pavarde9936                   Vardas9936                    4.00 
Pavarde9937                   Vardas9937                    5.00 
Pavarde9938                   Vardas9938                    6.00 
Pavarde9939                   Vardas9939                    5.00 
Pavarde994                    Vardas994                     4.00 
Pavarde9940                   Vardas9940                    3.00 
Pavarde9941                   Vardas9941                    5.00 
Pavarde9942                   Vardas9942                    7.00 
Pavarde9943                   Vardas9943                    5.00 
Pavarde9944                   Vardas9944                    5.00 
Pavarde9945                   Vardas9945                    4.00 
Pavarde9946                   Vardas9946                    7.00 
Pavarde9947                   Vardas9947                    3.00 
Pavarde9948                   Vardas9948                    4.00 
Pavarde9949                   Vardas9949                    4.00 
Pavarde995                    Vardas995                     4.00 
Pavarde9950                   Vardas9950                    5.00 
Pavarde9951                   Vardas9951                    4.00 
Pavarde9952                   Vardas9952                    4.00 
Pavarde9953                   Vardas9953                    5.00 
Pavarde9954                   Vardas9954                    8.00 
Pavarde9955                   Vardas9955                    5.00 
